1 zimmer|1.5 zimmer|13 zimmer|2 zimmer|2.5 zimmer|20 zimmer|3 zimmer|3.5 zimmer|4 zimmer|4.5 zimmer|5 zimmer|5.5 zimmer|6 zimmer|6.5 zimmer|7 zimmer|address|description|page|price|type|weblink|address_short_1|address_short_2|price2|rooms|size|size_num
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Wartauweg 19, 8049 Zürich|3,5-Zimmerwohnung - Erstvermietung nach Sanierung - Wohnen im Kult|2|4990|3.5 Zimmer, 88m², CHF 4’990.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000946896|Wartauweg 19|8049 Zürich|CHF 4’990.– |3.5 Zimmer|88m²|88.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Tödistrasse 63, 8002 Zürich|Kernsanierte Wohnung im Zentrum von Zürich|2|5983|3.5 Zimmer, 81m², CHF 5’983.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000901292|Tödistrasse 63|8002 Zürich|CHF 5’983.– |3.5 Zimmer|81m²|81.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Wildbachstrasse 39, 8008 Zürich|Erstvermietung einer renovierten 4.5 ZWG mit Galerie im beliebten Wohnquartier Zürich-Seefeld|2|5125|4.5 Zimmer, 121m², CHF 5’125.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000876980|Wildbachstrasse 39|8008 Zürich|CHF 5’125.– |4.5 Zimmer|121m²|121.0
0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Leutschenbachstrasse 85, 8052 Zürich|2,5 Apartment with incredibile views, 6th floor|2|3000|2.5 Zimmer, 95m², CHF 3’000.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000824566|Leutschenbachstrasse 85|8052 Zürich|CHF 3’000.– |2.5 Zimmer|95m²|95.0
1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Culmannstrasse 30, 8006 Zürich|Hochwertiges studio vollmöbliert mit Balkon|2|1630|1 Zimmer, 37m², CHF 1’630.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=2/mieten/4000642009|Culmannstrasse 30|8006 Zürich|CHF 1’630.– |1 Zimmer|37m²|37.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Wiedingstrasse/Austrasse, 8045 Zürich|Traumhafte Familienwohnung im beliebten Kreis 3|5|4630|4.5 Zimmer, 108m², CHF 4’630.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000986807|Wiedingstrasse/Austrasse|8045 Zürich|CHF 4’630.– |4.5 Zimmer|108m²|108.0
0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|Wiedingstrasse/Austrasse, 8045 Zürich|Ob Familie oder WG wir haben das passende Objekt für Sie|5|5690|5.5 Zimmer, 133m², CHF 5’690.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000964738|Wiedingstrasse/Austrasse|8045 Zürich|CHF 5’690.– |5.5 Zimmer|133m²|133.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Im Glockenacker 56, 8053 Zürich|Hier wartet Ihr neues Zuhause auf Sie|5|3590|3.5 Zimmer, 99m², CHF 3’590.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000956518|Im Glockenacker 56|8053 Zürich|CHF 3’590.– |3.5 Zimmer|99m²|99.0
0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Eierbrechtstrasse 59/61, 8053 Zürich|Moderne und grosszügige Wohnung in Zürich-Witikon|5|2595|2.5 Zimmer, 87m², CHF 2’595.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000889443|Eierbrechtstrasse 59/61|8053 Zürich|CHF 2’595.– |2.5 Zimmer|87m²|87.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Pfingstweidstrasse 104B, 8005 Zürich|Liebe auf den ersten Blick!|5|4190|4.5 Zimmer, 122m², CHF 4’190.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000814794|Pfingstweidstrasse 104B|8005 Zürich|CHF 4’190.– |4.5 Zimmer|122m²|122.0
0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|Utoquai 49, 8008 Zürich|Wohnen am Seebecken|5|6700|5 Zimmer, 156m², CHF 6’700.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000672012|Utoquai 49|8008 Zürich|CHF 6’700.– |5 Zimmer|156m²|156.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Plattenstr. 34, 8032 Zürich|Attikawohnung mit eigener Rooftop|5|6140|4.5 Zimmer, 165m², CHF 6’140.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000490665|Plattenstr. 34|8032 Zürich|CHF 6’140.– |4.5 Zimmer|165m²|165.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Hadlaubstr. 73, 8006 Zürich|Wohnoase der Spitzenklasse mit atemberaubender Aussicht!|5|6285|3.5 Zimmer, CHF 6’285.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000464770|Hadlaubstr. 73|8006 Zürich|CHF 6’285.– |3.5 Zimmer||
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Forsterstrasse 67, 8044 Zürich|Charmante Wohnung am Zürichberg|5|4510|4.5 Zimmer, 121m², CHF 4’510.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4000366224|Forsterstrasse 67|8044 Zürich|CHF 4’510.– |4.5 Zimmer|121m²|121.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Albisstr. 124, 8038 Zürich|Frisch sanierte 3.5 Zimmer Wohnung in Wollishofen|5|2380|3.5 Zimmer, 80m², CHF 2’380.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001022524|Albisstr. 124|8038 Zürich|CHF 2’380.– |3.5 Zimmer|80m²|80.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Hohlstrasse 485a, 8048 Zürich|Urbanes & Zentrales Wohnen. Dein Labitzke.|5|3165|3.5 Zimmer, 105m², CHF 3’165.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001022454|Hohlstrasse 485a|8048 Zürich|CHF 3’165.– |3.5 Zimmer|105m²|105.0
0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Aemtlerstr. 17, 8003 Zürich|Loftwohnung mit grosser Dachterrasse an zentraler Lage|5|4455|2.5 Zimmer, 95m², CHF 4’455.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001022257|Aemtlerstr. 17|8003 Zürich|CHF 4’455.– |2.5 Zimmer|95m²|95.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Katharinenweg 5, 8002 Zürich|ERSTVERMIETUNG nach Totalsanierung|5|4080|3.5 Zimmer, 99m², CHF 4’080.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001019847|Katharinenweg 5|8002 Zürich|CHF 4’080.– |3.5 Zimmer|99m²|99.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Katharinenweg 5, 8002 Zürich|ERSTVERMIETUNG nach Totalsanierung|5|4080|3.5 Zimmer, 99m², CHF 4’080.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001019811|Katharinenweg 5|8002 Zürich|CHF 4’080.– |3.5 Zimmer|99m²|99.0
0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Baslerstrasse 77, 8048 Zürich|Urbanes Wohnen in einem inspirierenden Umfeld|5|3431|2 Zimmer, 70m², CHF 3’431.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001018076|Baslerstrasse 77|8048 Zürich|CHF 3’431.– |2 Zimmer|70m²|70.0
0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Dorfstrasse 40, 8037 Zürich|Wunderschöne helle 2.5 Zi.-Maisonettewohnung in Wipkingen|5|2782|2.5 Zimmer, 66m², CHF 2’782.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001017216|Dorfstrasse 40|8037 Zürich|CHF 2’782.– |2.5 Zimmer|66m²|66.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Badenerstr. 157, 8004 Zürich|Moderne Altbauwohnung mitten im Stadtzentrum|5|4840|3.5 Zimmer, 113m², CHF 4’840.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001015840|Badenerstr. 157|8004 Zürich|CHF 4’840.– |3.5 Zimmer|113m²|113.0
0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|Badenerstr. 157, 8004 Zürich|Moderne Altbauwohnung mitten im Stadtzentrum|5|4765|4.5 Zimmer, 110m², CHF 4’765.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=5/mieten/4001015839|Badenerstr. 157|8004 Zürich|CHF 4’765.– |4.5 Zimmer|110m²|110.0
1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Ankerstrasse 110, 8004 Zürich|Sanierte 1-Zimmerwohnungen beim Helvetiaplatz zu vermieten!|6|1650|1 Zimmer, 23m², CHF 1’650.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001015278|Ankerstrasse 110|8004 Zürich|CHF 1’650.– |1 Zimmer|23m²|23.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Zwirnerstrasse 78, 8041 Zürich|Wunderschöne, grosszügige Wohnung|6|3450|3.5 Zimmer, 112m², CHF 3’450.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001014817|Zwirnerstrasse 78|8041 Zürich|CHF 3’450.– |3.5 Zimmer|112m²|112.0
0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|Riedenhaldenstr. 30, 8046 Zürich|3-Zimmerwohnung mit internem Estrich, Reduit / KEIN Balkon|6|1895|3 Zimmer, 64m², CHF 1’895.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001013998|Riedenhaldenstr. 30|8046 Zürich|CHF 1’895.– |3 Zimmer|64m²|64.0
0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|Hädrichstr. 7, 8047 Zürich|moderne Architektur, spannend inszeniert|6|3870|5.5 Zimmer, 139m², CHF 3’870.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001012043|Hädrichstr. 7|8047 Zürich|CHF 3’870.– |5.5 Zimmer|139m²|139.0
0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|Bachmattstr. 59, 8048 Zürich|modernes Zuhause|6|2700|2.5 Zimmer, 71m², CHF 2’700.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001011959|Bachmattstr. 59|8048 Zürich|CHF 2’700.– |2.5 Zimmer|71m²|71.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Rainfussweg 3, 8038 Zürich|Ihre Traumwohnung - modern, hell und an zentraler Lage|6|3055|3.5 Zimmer, 83m², CHF 3’055.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001010547|Rainfussweg 3|8038 Zürich|CHF 3’055.– |3.5 Zimmer|83m²|83.0
0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|Loogartenstrasse 22, 8048 Zürich|Attraktives 5.5 Zimmer-Reihen-Eckeinfamilienhaus in Zürich-Altstetten|6|5300|5.5 Zimmer, 186m², CHF 5’300.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001007944|Loogartenstrasse 22|8048 Zürich|CHF 5’300.– |5.5 Zimmer|186m²|186.0
0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Welchogasse 5, 8050 Zürich|Schönes und  zentrales Wohnen beim Bahnhof Oerlikon|6|2760|3.5 Zimmer, 85m², CHF 2’760.– |https://www.immoscout24.ch/de/immobilien/mieten/plz-8000-zuerich?pn=6/mieten/4001002683|Welchogasse 5|8050 Zürich|CHF 2’760.– |3.5 Zimmer|85m²|85.0
