price,address,rooms,size,latitude,longitude,distance_hospital,lr_day,lr_night,distance_ov,wbauj,modern,erstvermietung,zentral,see,neu,stöckig,traum,bijou,neubau,balkon,charmant,erstbezug,1 Zimmer,1.5 Zimmer,2 Zimmer,2.5 Zimmer,3 Zimmer,3.5 Zimmer,4 Zimmer,4.5 Zimmer,5 Zimmer,5.5 Zimmer,6 Zimmer,6.5 Zimmer,7 Zimmer,7.5 Zimmer,y0,y1999,y2000,y2001,y2003,y2004,y2005,y2006,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024
1755,"Viktoriastrasse 61, 8050 Zürich",2.0,55,47.406105041503906,8.550956726074219,0.8050584984917283,40.1,32.4,0.19341902685094375,1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5695,"Scheideggstrasse 70, 8002 Zürich",7.5,205,47.353271484375,8.528915405273438,0.2241932570483216,48.5,43.5,0.26209601979782765,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,"General Wille-Strasse 8, 8002 Zürich",5.5,127,47.36353302001953,8.533804893493652,1.2336672641457023,61.5,55.8,0.09452682284211494,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2175,"Dachslernstrasse 184, 8048 Zürich",3.5,73,47.39279556274414,8.470620155334473,3.5248459576304345,42.3,36.2,0.0301942172095992,1999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2753,"Mutschellenstrasse 47, 8038 Zürich",2.0,57,47.35172653198242,8.527535438537598,0.3250980738959651,41.9,36.5,0.09182233010346036,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5850,"Limmatstrasse 260, 8005 Zürich",3.5,118,47.38913345336914,8.52584171295166,1.0993787188058706,51.1,45.4,0.07908813583749635,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2189,"Hungerbergstrasse 5, 8046 Zürich",3.0,60,47.420188903808594,8.501709938049316,2.7930515664287237,39.3,32.1,0.10175684528479978,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,"Winterthurerstrasse 85, 8006 Zürich",2.0,57,47.39104080200195,8.545096397399902,1.4684099758584424,60.3,50.4,0.04987052791115891,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2570,"Dennlerstrasse 22, 8047 Zürich",3.5,87,47.38163757324219,8.497901916503906,1.5645318874263723,49.4,38.7,0.20859249021571166,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3907,"Schaffhauserstrasse 30, 8006 Zürich",4.0,88,47.3901252746582,8.539281845092773,1.015409345464871,38.9,31.6,0.17762152942460732,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
