CHSTNAME,longitude,latitude
"Zürich, Haldenegg",8.54441866461875,47.3795759061585
Stettbach,8.59603488941988,47.3969977101268
"Zürich, Strickhof",8.54754291350737,47.3935243752846
"Zürich, Neumarkt",8.5473495796425,47.3727744668029
"Zürich, Salersteig",8.54848005255525,47.4060815116302
"Zürich, Seilbahn Rigiblick",8.54830128880753,47.3860511514477
"Zürich, ETH/Universitätsspital",8.54822483575934,47.3772906242248
Zürich Stadelhofen,8.54866675138064,47.366717062829
"Zürich, Langensteinenstrasse",8.54974689177486,47.3924957515431
"Zürich, Kreuzstrasse",8.54978481236965,47.3631891947154
"Zürich, Elektrowatt",8.55040527147338,47.3573903163537
"Zürich, Hinterbergstrasse",8.5545608025823,47.3801080391201
"Zürich, Flobotstrasse",8.5680392269894,47.3805797280469
"Zürich, Wetlistrasse",8.56862590644576,47.3601548885349
"Zürich, Aubrücke",8.57212697564976,47.4108802809777
"Zürich, Heerenwiesen",8.57632832043809,47.404713336126
"Zürich, Roswiesen",8.57697967133028,47.4029528740345
"Zürich, Probstei",8.58659261528762,47.4002222106282
"Zürich, Loogarten",8.47232923143667,47.3894273402397
"Zürich, Hermetschloo",8.47365114710997,47.3940659173065
"Zürich, Rautistrasse",8.48409111987166,47.3833488265711
"Zürich, Grünaustrasse",8.48921233189132,47.3952297705361
"Zürich, Baslerstrasse",8.49014446197039,47.3887628718028
"Zürich, Friedhof Hönggerberg",8.4941335495354,47.4089382707078
"Zürich, Winzerhalde",8.49456699764464,47.400056259931
"Zürich, Kappeli",8.49536814147532,47.3850092611991
"Zürich, Wieslergasse",8.49595810163726,47.4040643046855
"Zürich, Triemli",8.49534998431292,47.3680627230831
"Zürich, Letzipark West",8.49646787383525,47.3863664440483
"Zürich, Letzigrund",8.50372938216919,47.3812355148453
"Zürich, ETH Hönggerberg",8.50770992025836,47.4086785770633
"Zürich, Im Hagacker",8.50771205797924,47.3592686693936
"Zürich, Fronwald",8.51004411180231,47.4219605400856
"Zürich, Kempfhofsteig",8.50985629389522,47.3974689073788
"Zürich, Förrlibuckstrasse",8.51715520853602,47.392210875892
"Zürich, Allmendstr./Bhf Manegg",8.51910727035192,47.3382308338413
Zürich Manegg,8.51967708366454,47.3382704749289
Zürich Saalsporthalle,8.52223363479074,47.3572893123317
"Zürich, Althoos",8.5240622833995,47.4107029711585
"Zürich, Kernstrasse",8.52426532384041,47.3745049176532
"Zürich, Thujastrasse",8.52780712214505,47.3501846567727
"Zürich, Bahnhof Enge/Bederstr.",8.53045724857742,47.3645519032168
"Zürich, Butzenstrasse",8.53031432803451,47.3414086446379
"Zürich, Billoweg",8.53197622430513,47.3514675457555
"Zürich, Okenstrasse",8.53414326163891,47.388012269798
"Zürich, Brunnenhof",8.53518567901065,47.4019807310532
"Zürich, Birchstrasse",8.5358508113117,47.4130473160437
"Zürich, Schönauring",8.53645118204597,47.4261023695259
"Zürich, Rotbuchstrasse",8.53611780276172,47.3912767402688
Zürich Wollishofen (See),8.5368301591291,47.3455026337128
"Zürich, Himmeri",8.53864470824818,47.4200008997958
"Zürich, Bahnhofplatz/HB",8.53929851985622,47.3772500890294
"Zürich, Beckenhof",8.54044623448575,47.384084438039
"Zürich, Bahnhof Oerlikon",8.54486874614301,47.4114681896004
"Zürich, Langmauerstrasse",8.54478798349379,47.3935417854338
"Zürich, Felsenrainstrasse",8.54537551611591,47.4167254366209
"Zürich, Bahnhof Oerlikon Ost",8.54608712289109,47.413345482545
"Zürich, Zentrum Witikon",8.58659063931128,47.3583225683089
"Zürich, Kinkelstrasse",8.54633376012924,47.3888855032508
"Zürich, Haldenbach",8.54812773650779,47.3802599540136
"Zürich, Winkelriedstrasse",8.54821525691605,47.3831915273835
"Zürich, Vogelsangstrasse",8.54907020077035,47.3835431182911
"Zürich, Messe/Hallenstadion",8.55007904915278,47.4109594603951
"Zürich, Leutschenbach",8.55131741545429,47.4144196367618
"Zürich, Feldeggstrasse",8.55224280778637,47.3604399742933
"Zürich, Signaustrasse",8.55762320678665,47.3632304480104
"Zürich, Englischviertelstrasse",8.5581733713817,47.3667332426398
"Zürich, Hegibachplatz",8.56071689791723,47.36177019203
"Zürich, Altenhofstrasse",8.56141477876649,47.3553048411783
Zürich Tiefenbrunnen,8.56153275508567,47.3502213859498
"Zürich, Hölderlinstrasse",8.5623839225516,47.3661166573222
"Zürich, Zoo",8.57155655941827,47.3815707367891
"Zürich, Kapfstrasse",8.57120215625473,47.361155106147
"Zürich, Schlyfi",8.57414526312495,47.36259242646
"Zürich, Friedhof Eichbühl",8.47453309528895,47.38287722815
"Zürich, Farbhof",8.47905973488457,47.3908780945956
"Zürich, Heizenholz",8.48384990903381,47.4122429144377
"Zürich, Letzibach",8.49468065978223,47.389081303203
"Zürich, Hardhof",8.49747417639247,47.3963507027826
"Zürich, Aargauerstrasse",8.5024777431551,47.3921760315745
"Zürich, SBB-Werkstätte",8.50337231016331,47.3865638805726
"Zürich, Schwert",8.5048012270308,47.3997284294187
"Zürich, Am Börtli",8.50714407322248,47.3996258369259
"Zürich, Lerchenhalde",8.50987618668291,47.4116358642098
"Zürich, Binz Center",8.51104801045578,47.361900297678
"Zürich, Strassenverkehrsamt",8.51130892934487,47.3531545960589
"Zürich, Goldbrunnenplatz",8.51389094171603,47.3702663129225
"Zürich, Zwinglihaus",8.51595507683839,47.3715063947567
"Zürich, Marbachweg",8.51537533159162,47.3303499196024
Zürich Hardbrücke,8.51689915942163,47.3854489763296
"Zürich, Schmiede Wiedikon",8.51906526932161,47.3701280765071
"Zürich, Bahnhof Leimbach",8.51859625372505,47.3332522685078
"Zürich, Schwandenholz",8.52068555245204,47.4238583218104
"Zürich, Lehenstrasse",8.52070559575662,47.3961445030623
"Zürich, Saalsporthalle",8.52057569569882,47.3577816016162
"Zürich, Manegg",8.52035202516562,47.3369688418684
"Zürich, Bäckeranlage",8.52309212623712,47.3786716782175
"Zürich, Rosengartenstrasse",8.52546402166135,47.3943278213815
"Zürich, Bezirksgebäude",8.52555617070376,47.3741689542345
"Zürich, Mötteliweg",8.5264608353793,47.4139546085646
"Zürich, Waffenplatzstrasse",8.52574767936656,47.3614840087019
"Zürich, Werd",8.52679500309663,47.3725831439565
"Zürich, Kantonsschule Enge",8.52751169972185,47.364237896725
"Zürich, Jugendherberge",8.52803872122463,47.3479156835135
Zürich Selnau,8.53163099265524,47.372078732465
"Zürich, Lägernstrasse",8.53217287002086,47.3959106261044
"Zürich, Oberwiesenstrasse",8.53281642831586,47.4104765156249
"Zürich, Bahnhof Selnau",8.53201261339542,47.3706718792496
"Zch, Bhf.Wollishofen/Staubstr.",8.53291763993996,47.3470329895554
Zürich Wollishofen,8.53384545311757,47.3477438081188
"Zürich, Stierenried",8.53547387505893,47.4166219167616
"Zürich, Rote Fabrik",8.53611285046248,47.3428018944743
Zürich HB Museum,8.53848698211702,47.3789938785863
"Zürich, Bahnhofstrasse/HB",8.53944946386621,47.3762232053719
"Zürich, Kantonalbank",8.53974656829361,47.3681697167051
"Zürich, Röslistrasse",8.54050115679688,47.3886624250143
"Zürich, Hertensteinstrasse",8.54348879505836,47.422878087693
"Zürich, Im Ebnet",8.54373402972358,47.4315019481158
"Zürich, Sonneggstrasse",8.54369173731396,47.382839098806
Zürich Bellevue (See),8.54443024986054,47.3660920606075
"Zürich, Mattenhof",8.59091712556766,47.398640999795
"Zürich, Friedhof Witikon",8.60267536278347,47.3613818518555
"Zürich, Polyterrasse ETH",8.54638819435051,47.3768494991291
"Zürich, Schanzackerstrasse",8.5474321955554,47.3920232555722
"Zürich, Seebacherplatz",8.54834391546771,47.4198992114419
"Zürich, Ausserdorfstrasse",8.5485593242719,47.4245115894988
"Zürich, Tierspital",8.55179791126464,47.4019028730843
"Zürich, Platte",8.55263987761213,47.375008336768
"Zürich, Voltastrasse",8.55451949559697,47.3768701827037
"Zürich, Fröhlichstrasse",8.55689806621922,47.3551687682284
"Zürich, Riedgraben",8.5588213895322,47.4108031073501
Zürich Tiefenbrunnen (See),8.56042607857012,47.3498363533856
"Zürich, Hofstrasse",8.56155687522336,47.3733658292259
"Zürich, Frohburg",8.56240486727567,47.4041659306328
"Zürich, Zürichbergstrasse",8.56410657998626,47.3787291240393
"Zürich, Heubeeriweg",8.56473652659479,47.3815924427894
"Zürich, Hölderlinsteig",8.56492778845248,47.3668294834814
"Zürich, Hedwigsteig",8.56503075954267,47.3604238884761
"Zürich, Bleulerstrasse",8.57156734459618,47.3471908990201
"Zürich, Balgrist",8.57500784293179,47.3546141573972
"Zürich, Klinik Hirslanden",8.57667875665785,47.3516562506619
"Zürich, Zoo/Forrenweid",8.57808927114202,47.3804990254514
"Zürich, Schürgistrasse",8.57959651088087,47.4088368617061
"Zürich, Waserstrasse",8.58404891817236,47.3583208231476
"Zürich, Parkplatz Feldermoos",8.46668724013564,47.3695447229927
"Zürich, Salzweg",8.47176603064341,47.3877053377686
"Zürich, Rütihof",8.47741186814958,47.4137041560525
"Zürich, Grünwald",8.48316928576065,47.4174031671304
"Zürich, Albisrieden",8.48478923360399,47.3743834441605
"Zürich, Giblenstrasse",8.48595360469936,47.4107307118921
"Zürich, Solidapark",8.48849485456536,47.3877254542086
"Zürich, Grimselstrasse",8.49008248656207,47.3869644304656
"Zürich, Singlistrasse",8.4934880224361,47.4051123027971
"Zürich, Triemlispital",8.49688403563952,47.3659708110967
"Zürich, Kappenbühlweg",8.4982415603223,47.4029639936122
"Zürich, Hungerbergstrasse",8.50151803503798,47.4210947654433
