adresse,longitude,latitude
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Terrasse vor Haus D,8.52039181198709,47.3983062521942
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Tièchestrasse 95,8.52102255838724,47.3987051233097
Tièchestrasse 99,8.52057550542271,47.3988712203269
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Tièchestrasse 99,8.52057550542271,47.3988712203269
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 501,8.49542651486808,47.3659121958498
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Tièchestrasse 99,8.52057550542271,47.3988712203269
Schreberweg 9,8.56810997355452,47.3770275720458
Frauenklinikstrasse 10,8.55081240216704,47.3784149264922
Lenggstrasse 31,8.5705160065471,47.3526233941548
Konradstrasse 62,8.53411922971854,47.3816889398151
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Tièchestrasse 99,8.52057550542271,47.3988712203269
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 501,8.49543845519327,47.3659198649647
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Tièchestrasse 99,8.52057550542271,47.3988712203269
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Bleulerstrasse 60,8.56989525230196,47.3487181109378
Seestrasse 220,8.53168395599967,47.3525318223924
Seefeldstrasse 214,8.5588735245332,47.3530218138074
Carmenstrasse 42,8.56365625170555,47.3672152776863
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Lengghalde 2,8.57318292534871,47.3521991244149
Bellerivestrasse 34,8.54906623857851,47.3581339075902
Forchstrasse 340,8.57543236169569,47.353032982763
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Dolderstrasse 107,8.56736697286763,47.3731364470078
Witellikerstrasse 40,8.57641829913042,47.3513315280049
Steinwiesstrasse 75,8.55793866355322,47.371683295727
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Birmensdorferstrasse 497,8.49745484359596,47.3660465354653
Tièchestrasse 99,8.52057550542271,47.3988712203269
Tièchestrasse 99,8.52057550542271,47.3988712203269
Online Veranstaltung,8.54550331386869,47.3463553076651
